ftMh_BackAirplane2_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_BackAirplane3_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_BackPunch_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_BackCrush_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_BackDisappear_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_Wait1_1_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_Grab_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_Fail_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_Cancel_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_Squeeze_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_Squeezing_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_Throw_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_Slam_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_TagCrush_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_TagApplaud_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_TagRockPaper_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_TagGrab_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_TagSqueeze_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_TagFail_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_TagCancel_IASA | fuzzy_match  | 100.00% ->  96.47%
ftMh_CaptureWaitMasterHand_80155D6C | fuzzy_match  | 100.00% ->  98.46%
ftCh_Wait1_0_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_Entry_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_Damage_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_Damage2_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_WaitSweep_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_SweepLoop_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_SweepWait_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_Slap_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_Walk2_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_WalkLoop_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_WalkWait_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_WalkShoot_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_Drill_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_RockCrushUp_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_RockCrushDown_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_PaperCrush_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_Poke1_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_Poke2_IASA | fuzzy_match  | 100.00% ->  96.47%
ftCh_FingerBeamStart_IASA | fuzzy_match  | 100.00% ->  96.47%
