ftColl_8007AD18 | fuzzy_match  | 100.00% ->  98.00%
ftColl_8007B0C0 | fuzzy_match  | 100.00% ->  95.38%
ftColl_8007B128 | fuzzy_match  | 100.00% ->  96.67%
ftColl_HurtboxInit | fuzzy_match  | 100.00% ->  83.50%
ftColl_GetWindOffsetVec | fuzzy_match  | 100.00% ->  98.19%
ftColl_8007BA0C | fuzzy_match  | 100.00% ->  98.67%
ftColl_8007BBCC | fuzzy_match  |  95.69% ->  94.49%
ft_8007C17C | fuzzy_match  | 100.00% ->  97.14%
ft_8007C224 | fuzzy_match  | 100.00% ->  96.17%
ft_8007C2E0 | fuzzy_match  | 100.00% ->  97.98%
ft_8007C4BC | fuzzy_match  | 100.00% ->  98.71%
ft_8007C77C | fuzzy_match  | 100.00% ->  98.90%
ftCommon_8007CCE8 | fuzzy_match  | 100.00% ->  96.36%
ftCommon_8007CDA4 | fuzzy_match  | 100.00% ->  94.29%
ftCommon_8007CDF8 | fuzzy_match  | 100.00% ->  94.29%
ftCommon_8007D5D4 | fuzzy_match  | 100.00% ->  95.71%
ftCommon_8007D60C | fuzzy_match  | 100.00% ->  98.29%
ftCommon_8007D6A4 | fuzzy_match  | 100.00% ->  98.91%
ftCommon_8007D780 | fuzzy_match  | 100.00% ->  96.13%
ftCommon_8007D7FC | fuzzy_match  | 100.00% ->  97.63%
ftCommon_8007D92C | fuzzy_match  | 100.00% ->  91.43%
ftCommon_8007DD7C | fuzzy_match  | 100.00% ->  99.19%
ftCommon_8007DFD0 | fuzzy_match  | 100.00% ->  98.26%
ftCommon_8007E0E4 | fuzzy_match  | 100.00% ->  98.93%
ftCommon_8007E358 | fuzzy_match  | 100.00% ->  98.38%
ftCommon_8007E3EC | fuzzy_match  | 100.00% ->  99.46%
ftCommon_8007E5AC | fuzzy_match  | 100.00% ->  95.86%
ftCommon_8007E6DC | fuzzy_match  | 100.00% ->  98.75%
ftCommon_8007E79C | fuzzy_match  | 100.00% ->  96.67%
ftCommon_8007E7E4 | fuzzy_match  | 100.00% ->  96.67%
ftCommon_8007EFC8 | fuzzy_match  | 100.00% ->  99.67%
ftCommon_8007F578 | fuzzy_match  | 100.00% ->  97.14%
ftCommon_8007F5CC | fuzzy_match  | 100.00% ->  97.60%
ftCommon_8007F824 | fuzzy_match  | 100.00% ->  96.67%
ftCommon_8007F86C | fuzzy_match  | 100.00% ->  96.67%
ftCommon_8007F8E8 | fuzzy_match  | 100.00% ->  97.50%
ftCommon_8007F948 | fuzzy_match  | 100.00% ->  97.78%
ftCommon_8007FA58 | fuzzy_match  | 100.00% ->  99.56%
ftCommon_8007FE84 | fuzzy_match  | 100.00% ->  99.00%
ftCommon_80080144 | fuzzy_match  | 100.00% ->  95.00%
ftCommon_800804FC | fuzzy_match  | 100.00% ->  85.00%
ftDrawCommon_800805C8 | fuzzy_match  |  99.90% ->  99.46%
ftDrawCommon_80080C28 | fuzzy_match  |  99.90% ->  99.42%
ftCo_Cliff_Cam | fuzzy_match  | 100.00% ->  97.27%
ft_80083F88 | fuzzy_match  | 100.00% ->  98.67%
ft_GetGroundFrictionMultiplier | fuzzy_match  | 100.00% ->  88.75%
ftData_80085B10 | fuzzy_match  | 100.00% ->  97.21%
ftData_80086060 | fuzzy_match  | 100.00% ->  93.60%
ftLib_IsMasterHandPresent | fuzzy_match  | 100.00% ->  92.73%
ftLib_IsCrazyHandPresent | fuzzy_match  | 100.00% ->  92.73%
ftLib_800865CC | fuzzy_match  | 100.00% ->  80.00%
ftLib_800865F0 | fuzzy_match  | 100.00% ->  83.75%
ftLib_80086630 | fuzzy_match  | 100.00% ->  88.00%
ftLib_800866DC | fuzzy_match  | 100.00% ->  96.67%
ftLib_800872A4 | fuzzy_match  | 100.00% ->  80.00%
ftLib_80087508 | fuzzy_match  | 100.00% ->  54.59%
ftLib_80087574 | fuzzy_match  | 100.00% ->  84.49%
ftLib_800876D4 | fuzzy_match  | 100.00% ->  85.00%
ftLib_8008770C | fuzzy_match  | 100.00% ->  91.43%
ftLib_80087744 | fuzzy_match  | 100.00% ->  91.43%
ftLib_8008777C | fuzzy_match  | 100.00% ->  94.55%
ft_80087C1C | fuzzy_match  | 100.00% ->  96.00%
ft_80087D0C | fuzzy_match  | 100.00% ->  99.72%
ft_800881D8 | fuzzy_match  |  75.73% ->  74.00%
ft_80088328 | fuzzy_match  |  92.83% ->  92.12%
ft_8008A2BC | fuzzy_match  | 100.00% ->  87.69%
ft_8008A348 | fuzzy_match  | 100.00% ->  96.39%
ftCo_8008A7A8 | fuzzy_match  |  99.86% ->  98.65%
decideAttack11 | fuzzy_match  | 100.00% ->  96.00%
checkAttack11 | fuzzy_match  | 100.00% ->  98.91%
doAttack12 | fuzzy_match  | 100.00% ->  98.91%
checkAttack12 | fuzzy_match  | 100.00% ->  99.22%
doAttack13 | fuzzy_match  | 100.00% ->  98.67%
checkAttack13 | fuzzy_match  | 100.00% ->  99.10%
decideFighter | fuzzy_match  | 100.00% ->  96.00%
decideFighter | fuzzy_match  | 100.00% ->  96.00%
ftCo_AttackLw3_Anim | fuzzy_match  | 100.00% ->  98.18%
ftCo_AttackLw3_IASA | fuzzy_match  | 100.00% ->  99.07%
checkItemThrow | fuzzy_match  | 100.00% ->  97.61%
decideFighter | fuzzy_match  | 100.00% ->  98.42%
ftCo_AttackHi4_CheckInput | fuzzy_match  | 100.00% ->  99.14%
ftCo_AttackHi4_CheckInputNoD0 | fuzzy_match  | 100.00% ->  99.00%
ftCo_AttackLw4_CheckInput | fuzzy_match  | 100.00% ->  99.14%
decideFighter | fuzzy_match  | 100.00% ->  97.39%
ftCo_Damage_CalcAngle | fuzzy_match  | 100.00% ->  97.93%
ftCo_Damage_CalcKnockback | fuzzy_match  | 100.00% ->  98.31%
ftCo_8008DCE0 | fuzzy_match  |  91.60% ->  90.48%
ftCo_Damage_Anim | fuzzy_match  | 100.00% ->  98.54%
doIasa | fuzzy_match  | 100.00% ->  97.31%
ftCo_Damage_IASA | fuzzy_match  | 100.00% ->  95.47%
ftCo_Damage_Phys | fuzzy_match  | 100.00% ->  93.68%
ftCo_Damage_Coll | fuzzy_match  |  99.97% ->  98.39%
ftCo_Damage_SetMv8FromKbThreshold | fuzzy_match  | 100.00% ->  97.86%
ftCo_DamageFly_Anim | fuzzy_match  |  53.80% ->  52.73%
ftCo_DamageFly_Phys | fuzzy_match  |  99.98% ->  97.98%
ftCo_DamageFlyRoll_Anim | fuzzy_match  |  43.82% ->  42.47%
ftCo_DamageFlyRoll_Phys | fuzzy_match  | 100.00% ->  97.30%
ftCo_80090780 | fuzzy_match  | 100.00% ->  97.07%
ftCo_800909D0 | fuzzy_match  | 100.00% ->  97.00%
ftCo_80090AC0 | fuzzy_match  | 100.00% ->  98.24%
ftCo_DamageIce_Init | fuzzy_match  |  97.20% ->  95.85%
ftCo_DamageIce_HitWhileFrozen | fuzzy_match  |  95.33% ->  93.32%
ftCo_DamageIce_Anim | fuzzy_match  | 100.00% ->  97.66%
ftCo_DamageIce_Phys | fuzzy_match  | 100.00% ->  95.56%
ftCo_DamageIce_Coll | fuzzy_match  | 100.00% ->  94.55%
ftCo_DamageIce_Collide | fuzzy_match  | 100.00% ->  99.57%
ftCo_80091854 | fuzzy_match  | 100.00% ->  86.23%
ftCo_80091D58 | fuzzy_match  | 100.00% ->  98.33%
ftCo_80091E78 | fuzzy_match  |  93.62% ->  93.01%
ftCo_800923B4 | fuzzy_match  | 100.00% ->  98.46%
ftCo_800928CC | fuzzy_match  | 100.00% ->  96.00%
ftCo_80092BE8 | fuzzy_match  | 100.00% ->  97.78%
ftCo_80092E50 | fuzzy_match  | 100.00% ->  98.24%
ftCo_80092F2C | fuzzy_match  |  86.39% ->  85.78%
ftCo_80093240 | fuzzy_match  | 100.00% ->  96.92%
ftCo_800932DC | fuzzy_match  | 100.00% ->  96.00%
ftCo_GuardSetOff_Anim | fuzzy_match  |  93.43% ->  91.26%
ftCo_80093850 | fuzzy_match  | 100.00% ->  96.00%
ftCo_800939B4 | fuzzy_match  | 100.00% ->  98.46%
ftCo_GuardReflect_Anim | fuzzy_match  |  80.44% ->  79.84%
ftCo_GuardReflect_IASA | fuzzy_match  |  93.31% ->  92.67%
ftpickupitem_80094150 | fuzzy_match  | 100.00% ->  98.57%
ftpickupitem_800942A0 | fuzzy_match  |  99.54% ->  98.53%
ftpickupitem_80094818 | fuzzy_match  | 100.00% ->  98.33%
ftpickupitem_800948A8 | fuzzy_match  | 100.00% ->  99.34%
ftCo_80094EA4 | fuzzy_match  | 100.00% ->  99.31%
ftCo_8009563C | fuzzy_match  | 100.00% ->  96.53%
ftCo_80095EFC | fuzzy_match  |  79.50% ->  78.29%
ftCo_800961D0 | fuzzy_match  | 100.00% ->  91.43%
ftCo_80096498 | fuzzy_match  | 100.00% ->  90.40%
ftCo_SpecialS_CheckInput | fuzzy_match  | 100.00% ->  98.46%
doEnter | fuzzy_match  | 100.00% ->  98.12%
ftCo_SpecialAir_CheckInput | fuzzy_match  | 100.00% ->  97.68%
ftCo_80096900 | fuzzy_match  | 100.00% ->  97.78%
ftCo_800969D8 | fuzzy_match  | 100.00% ->  97.60%
ftCo_LiftTurn_Anim | fuzzy_match  | 100.00% ->  90.21%
ftCo_80097570 | fuzzy_match  | 100.00% ->  98.75%
ftCo_8009794C | fuzzy_match  |  87.84% ->  87.28%
ftCo_DownBound_Coll | fuzzy_match  | 100.00% ->  96.84%
ftCo_80097E8C | fuzzy_match  | 100.00% ->  97.21%
ftCo_DownWait_Anim | fuzzy_match  | 100.00% ->  95.93%
ftCo_Down_CheckInput | fuzzy_match  | 100.00% ->  98.24%
ftCo_80098400 | fuzzy_match  | 100.00% ->  98.87%
ftCo_800984D4 | fuzzy_match  | 100.00% ->  98.42%
ftCo_800987D0 | fuzzy_match  | 100.00% ->  97.78%
ftCo_80098928 | fuzzy_match  | 100.00% ->  98.60%
ftCo_800989D4 | fuzzy_match  | 100.00% ->  97.65%
ftCo_80098B20 | fuzzy_match  | 100.00% ->  98.03%
ftCo_80098C9C | fuzzy_match  | 100.00% ->  98.03%
ftCo_80098E3C | fuzzy_match  | 100.00% ->  94.38%
ftCo_80098F3C | fuzzy_match  | 100.00% ->  97.14%
ftCo_8009917C | fuzzy_match  | 100.00% ->  98.97%
ftCo_800992A8 | fuzzy_match  | 100.00% ->  97.78%
ftCo_80099894 | fuzzy_match  | 100.00% ->  97.27%
ftCo_8009AB9C | fuzzy_match  | 100.00% ->  98.82%
ftCo_CliffClimb_Phys | fuzzy_match  | 100.00% ->  96.19%
ftCo_CliffClimb_Coll | fuzzy_match  | 100.00% ->  95.71%
ftCo_8009AEA4 | fuzzy_match  | 100.00% ->  98.82%
ftCo_8009B040 | fuzzy_match  | 100.00% ->  98.82%
ftCo_8009B170 | fuzzy_match  | 100.00% ->  96.67%
ftCo_8009B1B8 | fuzzy_match  | 100.00% ->  98.75%
ftCo_8009B2F8 | fuzzy_match  | 100.00% ->  98.42%
ftCo_8009B390 | fuzzy_match  | 100.00% ->  98.38%
ftCo_8009B6C8 | fuzzy_match  | 100.00% ->  98.06%
ftCo_8009BB1C | fuzzy_match  | 100.00% ->  96.67%
ftCo_8009BC58 | fuzzy_match  | 100.00% ->  96.36%
ftCo_CargoWait2_Anim | fuzzy_match  | 100.00% ->  95.20%
ftCo_CargoWait2_Coll | fuzzy_match  | 100.00% ->  90.40%
ftCo_8009C02C | fuzzy_match  | 100.00% ->  95.00%
